Date,Open,High,Low,Close,AdjustedClose,Volume
2024-07-29,2927.0,2968.0,2913.5,2954.5,2912.638671875,3740000
2024-07-30,2933.0,2966.5,2897.5,2941.0,2899.329833984375,2913000
2024-07-31,2850.0,2926.0,2811.0,2921.5,2880.106201171875,5334200
2024-08-01,2934.5,2935.0,2770.0,2821.0,2781.030029296875,3470000
2024-08-02,2624.5,2639.5,2499.5,2530.5,2494.64599609375,9065800
2024-08-05,2559.5,2617.0,2045.0,2139.0,2108.693115234375,13219400
2024-08-06,2384.0,2428.0,2265.5,2332.5,2299.45166015625,9202400
2024-08-07,2275.0,2484.5,2256.5,2389.5,2355.643798828125,5555600
2024-08-08,2321.0,2335.0,2213.0,2247.0,2215.16259765625,6161600
2024-08-09,2312.5,2344.0,2173.0,2221.5,2190.024169921875,5148400
2024-08-13,2325.0,2410.0,2307.0,2399.0,2365.00927734375,4730200
2024-08-14,2504.0,2597.5,2467.0,2540.5,2504.504150390625,6776200
2024-08-15,2520.0,2572.5,2497.0,2530.0,2494.153076171875,2706400
2024-08-16,2627.0,2671.0,2621.0,2671.0,2633.155029296875,3560200
2024-08-19,2649.0,2685.0,2588.5,2600.5,2563.654296875,2527200
2024-08-20,2650.5,2690.0,2616.0,2674.0,2636.112548828125,2785000
2024-08-21,2624.0,2658.0,2607.0,2634.5,2597.172607421875,2200800
2024-08-22,2622.5,2662.0,2592.5,2601.5,2564.639892578125,2489000
2024-08-23,2666.5,2693.0,2592.0,2630.0,2592.736328125,2347400
2024-08-26,2620.0,2637.5,2577.5,2597.0,2560.2041015625,1765800
2024-08-27,2589.5,2609.0,2565.5,2595.0,2558.232177734375,1668800
2024-08-28,2576.0,2594.0,2533.5,2594.0,2557.246337890625,3521800
2024-08-29,2515.5,2598.5,2493.0,2564.0,2527.67138671875,5292000
2024-08-30,2575.0,2615.0,2497.0,2525.5,2489.716796875,5762600
2024-09-02,2625.5,2638.5,2566.5,2575.0,2538.515625,2680600
2024-09-03,2569.5,2577.0,2492.0,2508.0,2472.46484375,2160200
2024-09-04,2377.0,2391.5,2332.5,2332.5,2299.45166015625,4455800
2024-09-05,2262.5,2307.5,2198.0,2204.0,2172.772216796875,5882400
2024-09-06,2200.0,2205.0,2117.5,2139.0,2108.693115234375,3863200
2024-09-09,2052.5,2089.5,2038.0,2084.0,2054.472412109375,3627800
2024-09-10,2119.0,2128.5,2067.5,2094.0,2064.330810546875,2865600
2024-09-11,2105.0,2147.5,2000.5,2022.5,1993.84375,3488400
2024-09-12,2118.5,2198.5,2109.5,2191.0,2159.956298828125,4461800
2024-09-13,2156.0,2185.0,2128.5,2165.5,2134.817626953125,3295600
2024-09-17,2200.0,2229.0,2135.0,2185.0,2154.04150390625,3970400
2024-09-18,2205.0,2222.5,2156.0,2222.0,2190.516845703125,3772600
2024-09-19,2248.5,2256.5,2196.5,2203.0,2171.7861328125,3622800
2024-09-20,2273.0,2339.0,2260.0,2298.0,2265.440185546875,6291800
2024-09-24,2292.5,2307.0,2200.0,2209.5,2178.194091796875,5807600
2024-09-25,2242.0,2279.5,2217.5,2222.0,2190.516845703125,3050400
2024-09-26,2247.0,2286.5,2219.0,2258.0,2226.007080078125,3649200
2024-09-27,2287.0,2328.0,2256.0,2301.0,2278.488525390625,4087400
2024-09-30,2200.0,2234.5,2172.0,2212.5,2190.854248046875,6109400
2024-10-01,2217.5,2311.5,2207.5,2296.0,2273.53759765625,3123000
2024-10-02,2240.5,2270.5,2219.0,2245.5,2223.531494140625,2648400
2024-10-03,2337.5,2365.0,2321.0,2341.0,2318.09716796875,3291400
2024-10-04,2362.5,2392.0,2357.5,2384.0,2360.676513671875,3936800
2024-10-07,2416.0,2449.0,2400.5,2401.0,2377.510009765625,4294200
