Date,Open,High,Low,Close,AdjustedClose,Volume
2024-07-29,6750.0,6874.0,6651.0,6844.0,6573.3681640625,11262700
2024-07-30,6800.0,6811.0,6630.0,6750.0,6483.0859375,6041700
2024-07-31,6661.0,6748.0,6573.0,6748.0,6481.16455078125,6601900
2024-08-01,6551.0,6585.0,6407.0,6486.0,6229.52490234375,7002600
2024-08-02,6161.0,6208.0,5921.0,5921.0,5686.8662109375,9587700
2024-08-05,5501.0,5755.0,5013.0,5245.0,5037.59765625,13870600
2024-08-06,5645.0,6014.0,5600.0,5950.0,5714.72021484375,12597700
2024-08-07,5874.0,6157.0,5809.0,5959.0,5723.36376953125,9673100
2024-08-08,5859.0,6066.0,5762.0,5945.0,5709.91796875,7700300
2024-08-09,6091.0,6096.0,5830.0,5947.0,5711.83837890625,8710900
2024-08-13,6047.0,6205.0,5972.0,6195.0,5950.03173828125,6778100
2024-08-14,6179.0,6183.0,6040.0,6158.0,5914.4951171875,6650900
2024-08-15,6122.0,6135.0,6050.0,6067.0,5827.09326171875,5068200
2024-08-16,6180.0,6382.0,6172.0,6379.0,6126.755859375,5935700
2024-08-19,6325.0,6397.0,6155.0,6178.0,5933.7041015625,4733500
2024-08-20,6256.0,6285.0,6188.0,6233.0,5986.529296875,4570300
2024-08-21,6154.0,6183.0,6094.0,6108.0,5866.4716796875,6968400
2024-08-22,6143.0,6328.0,6125.0,6276.0,6027.82861328125,7525300
2024-08-23,6255.0,6413.0,6248.0,6392.0,6139.2421875,5269100
2024-08-26,6492.0,6540.0,6399.0,6470.0,6214.15771484375,5992700
2024-08-27,6455.0,6470.0,6372.0,6454.0,6198.79052734375,3139900
2024-08-28,6447.0,6461.0,6374.0,6447.0,6192.06689453125,2870200
2024-08-29,6401.0,6486.0,6364.0,6444.0,6189.18603515625,4362600
2024-08-30,6468.0,6468.0,6386.0,6422.0,6168.0556640625,6700000
2024-09-02,6480.0,6518.0,6375.0,6400.0,6146.92529296875,4032900
2024-09-03,6390.0,6454.0,6340.0,6373.0,6120.99365234375,4559200
2024-09-04,5973.0,6030.0,5815.0,5832.0,5601.3857421875,12107700
2024-09-05,5742.0,5880.0,5718.0,5786.0,5557.205078125,6540900
2024-09-06,5801.0,5845.0,5726.0,5734.0,5507.2607421875,5835800
2024-09-09,5500.0,5654.0,5446.0,5607.0,5385.283203125,7602900
2024-09-10,5627.0,5699.0,5558.0,5573.0,5352.62744140625,5575200
2024-09-11,5590.0,5680.0,5481.0,5504.0,5286.35595703125,6902100
2024-09-12,5725.0,5794.0,5675.0,5765.0,5537.03515625,6576700
2024-09-13,5792.0,5800.0,5680.0,5706.0,5480.3681640625,6724400
2024-09-17,5708.0,5744.0,5552.0,5638.0,5415.05712890625,5309700
2024-09-18,5720.0,5748.0,5545.0,5615.0,5392.966796875,4316900
2024-09-19,5773.0,5879.0,5750.0,5750.0,5522.62890625,8641300
2024-09-20,5916.0,5979.0,5823.0,5862.0,5630.19921875,10802700
2024-09-24,5934.0,5941.0,5834.0,5876.0,5643.64599609375,5352600
2024-09-25,5876.0,5923.0,5859.0,5893.0,5659.9736328125,3575200
2024-09-26,5982.0,6068.0,5956.0,6059.0,5819.40966796875,7381700
2024-09-27,6150.0,6344.0,6120.0,6343.0,6145.93994140625,8465900
2024-09-30,6000.0,6053.0,5951.0,5977.0,5791.310546875,8997400
2024-10-01,6044.0,6169.0,6012.0,6152.0,5960.8740234375,5085600
2024-10-02,6001.0,6045.0,5918.0,5950.0,5765.14990234375,6098900
2024-10-03,6150.0,6171.0,6029.0,6046.0,5858.1669921875,4659100
2024-10-04,6028.0,6074.0,5976.0,6023.0,5835.8818359375,3284400
2024-10-07,6180.0,6209.0,6141.0,6142.0,5951.18408203125,5514300
2024-10-08,6042.0,6098.0,6016.0,6056.0,5867.85693359375,3441900
2024-10-09,6131.0,6147.0,6064.0,6129.0,5938.58837890625,3804000
2024-10-10,6229.0,6262.0,6171.0,6193.0,6000.6005859375,4442000
2024-10-11,6246.0,6247.0,6114.0,6126.0,5935.681640625,5025200
2024-10-15,6250.0,6252.0,6126.0,6126.0,5935.681640625,4993300
2024-10-16,5985.0,6052.0,5951.0,6023.0,5835.8818359375,4807700
2024-10-17,6051.0,6057.0,5936.0,5941.0,5756.4296875,4385600
2024-10-18,5960.0,5994.0,5937.0,5972.0,5786.46630859375,2877400
2024-10-21,5987.0,5993.0,5934.0,5935.0,5750.61572265625,2732200
2024-10-22,5928.0,5943.0,5819.0,5868.0,5685.69677734375,3775500
2024-10-23,5830.0,5892.0,5789.0,5803.0,5622.71630859375,2958300
2024-10-24,5725.0,5852.0,5723.0,5790.0,5610.1201171875,3753600
2024-10-25,5730.0,5778.0,5677.0,5760.0,5581.05224609375,5004000
2024-10-28,5580.0,5664.0,5506.0,5593.0,5419.24072265625,11717700
2024-10-29,5650.0,5651.0,5546.0,5623.0,5448.30859375,6404500
2024-10-30,5724.0,5768.0,5663.0,5680.0,5503.53759765625,9444100
2024-10-31,5650.0,5765.0,5641.0,5755.0,5576.2080078125,5605000
2024-11-01,5560.0,5613.0,5546.0,5574.0,5400.8310546875,5094300
2024-11-05,5600.0,5778.0,5594.0,5709.0,5531.63671875,5203000
2024-11-06,5750.0,5924.0,5723.0,5866.0,5683.75927734375,5665700
2024-11-07,5960.0,5973.0,5819.0,5887.0,5704.10693359375,6369000
2024-11-08,5952.0,5967.0,5852.0,5892.0,5708.95166015625,4430800
2024-11-11,5835.0,5863.0,5766.0,5788.0,5608.18212890625,3511700
2024-11-12,5846.0,5871.0,5728.0,5763.0,5583.958984375,5167700
2024-11-13,5732.0,5752.0,5625.0,5646.0,5470.59423828125,4596700
2024-11-14,5685.0,5715.0,5649.0,5650.0,5474.4697265625,3597700
2024-11-15,5713.0,5795.0,5687.0,5687.0,5510.3203125,4008800
2024-11-18,5608.0,5649.0,5592.0,5625.0,5450.24658203125,2919400
2024-11-19,5696.0,5734.0,5662.0,5688.0,5511.2890625,3820200
2024-11-20,5693.0,5710.0,5588.0,5620.0,5445.40185546875,3035000
