Date,Open,High,Low,Close,AdjustedClose,Volume
2024-07-29,5630.0,5790.0,5570.0,5680.0,5503.3056640625,977900
2024-07-30,5620.0,5670.0,5470.0,5580.0,5406.41650390625,1237100
2024-07-31,5480.0,6080.0,5460.0,6000.0,5813.3515625,1344100
2024-08-01,6100.0,6240.0,5760.0,5800.0,5619.5732421875,1345000
2024-08-02,5500.0,5580.0,5160.0,5220.0,5057.61572265625,1272300
2024-08-05,4595.0,4595.0,4220.0,4220.0,4088.723876953125,1397300
2024-08-06,4780.0,4820.0,4530.0,4705.0,4558.63623046875,1559700
2024-08-07,4635.0,5390.0,4630.0,5140.0,4980.1044921875,1750300
2024-08-08,5040.0,5190.0,4770.0,5100.0,4941.3486328125,1613300
2024-08-09,5290.0,5430.0,4750.0,5080.0,4921.970703125,2392300
2024-08-13,4995.0,5100.0,4850.0,4930.0,4776.63671875,2136800
2024-08-14,4900.0,5050.0,4475.0,4500.0,4360.013671875,3817000
2024-08-15,4570.0,4935.0,4540.0,4930.0,4776.63671875,3251800
2024-08-16,5200.0,5320.0,5030.0,5240.0,5076.99365234375,1852000
2024-08-19,5180.0,5450.0,5100.0,5100.0,4941.3486328125,1197800
2024-08-20,5300.0,5330.0,5140.0,5160.0,4999.48193359375,876900
2024-08-21,5010.0,5120.0,4850.0,4915.0,4762.103515625,1278000
2024-08-22,4975.0,5050.0,4870.0,4930.0,4776.63671875,1157100
2024-08-23,4840.0,4910.0,4730.0,4745.0,4597.39208984375,1124300
2024-08-26,4715.0,4745.0,4595.0,4610.0,4466.591796875,717500
2024-08-27,4550.0,4600.0,4505.0,4575.0,4432.6806640625,679200
2024-08-28,4560.0,4625.0,4475.0,4600.0,4456.90283203125,821700
2024-08-29,4460.0,4550.0,4420.0,4510.0,4369.7021484375,767200
2024-08-30,4610.0,4870.0,4580.0,4800.0,4650.68115234375,1360400
2024-09-02,4850.0,4865.0,4625.0,4630.0,4485.9697265625,959300
2024-09-03,4645.0,4660.0,4385.0,4430.0,4292.19140625,1074400
2024-09-04,4120.0,4165.0,3920.0,3965.0,3841.65625,1654700
2024-09-05,3895.0,4005.0,3850.0,3890.0,3768.989501953125,1129200
2024-09-06,3850.0,3865.0,3725.0,3760.0,3643.033447265625,1327000
2024-09-09,3500.0,3740.0,3475.0,3695.0,3580.0556640625,1323100
2024-09-10,3690.0,3750.0,3605.0,3700.0,3584.900146484375,795800
2024-09-11,3645.0,3680.0,3500.0,3550.0,3439.566162109375,1059400
2024-09-12,3735.0,3790.0,3630.0,3735.0,3618.811279296875,860800
2024-09-13,3725.0,3765.0,3610.0,3625.0,3512.23291015625,724200
2024-09-17,3650.0,3680.0,3500.0,3545.0,3434.721923828125,747800
2024-09-18,3615.0,3625.0,3505.0,3585.0,3473.4775390625,735300
2024-09-19,3685.0,3685.0,3595.0,3610.0,3497.699951171875,706300
2024-09-20,3750.0,3820.0,3695.0,3715.0,3599.433349609375,849100
2024-09-24,3740.0,3780.0,3615.0,3615.0,3502.544189453125,846500
2024-09-25,3615.0,3675.0,3570.0,3600.0,3488.0107421875,656000
2024-09-26,3810.0,4000.0,3800.0,3980.0,3856.189697265625,1865200
2024-09-27,4095.0,4370.0,4070.0,4340.0,4204.99072265625,2709900
2024-09-30,4130.0,4150.0,3935.0,3935.0,3812.589599609375,1563000
2024-10-01,4005.0,4115.0,4005.0,4105.0,3977.30126953125,1036000
2024-10-02,3945.0,3980.0,3805.0,3810.0,3691.47802734375,1091300
2024-10-03,4015.0,4020.0,3885.0,3895.0,3773.833984375,939600
2024-10-04,3885.0,3950.0,3850.0,3880.0,3759.300537109375,482700
2024-10-07,3985.0,4030.0,3845.0,3880.0,3759.300537109375,878600
2024-10-08,3830.0,3875.0,3740.0,3770.0,3652.722412109375,623200
2024-10-09,3840.0,3955.0,3815.0,3895.0,3773.833984375,1013900
2024-10-10,3960.0,3995.0,3775.0,3805.0,3686.633544921875,794000
2024-10-11,3790.0,3825.0,3760.0,3760.0,3643.033447265625,532300
2024-10-15,3830.0,4100.0,3820.0,4035.0,3909.478759765625,1215100
2024-10-16,3755.0,3755.0,3625.0,3670.0,3555.833251953125,1611000
2024-10-17,3685.0,3690.0,3570.0,3590.0,3478.32177734375,782300
2024-10-18,3565.0,3630.0,3450.0,3600.0,3488.0107421875,1283200
2024-10-21,3585.0,3790.0,3580.0,3790.0,3672.100341796875,1047900
2024-10-22,3785.0,3815.0,3645.0,3690.0,3575.2109375,769700
2024-10-23,3675.0,3765.0,3660.0,3710.0,3594.5888671875,695200
2024-10-24,3650.0,3710.0,3620.0,3650.0,3536.455322265625,758900
2024-10-25,3640.0,3660.0,3570.0,3580.0,3468.633056640625,562700
2024-10-28,3585.0,3755.0,3550.0,3740.0,3623.65576171875,913400
2024-10-29,3675.0,3815.0,3645.0,3735.0,3618.811279296875,696800
2024-10-30,3805.0,4060.0,3795.0,3920.0,3798.056396484375,1307100
2024-10-31,3710.0,3965.0,3700.0,3935.0,3812.589599609375,1132600
2024-11-01,3750.0,3775.0,3620.0,3645.0,3531.611083984375,1453100
2024-11-05,3695.0,3760.0,3610.0,3705.0,3589.744384765625,802900
2024-11-06,3760.0,3890.0,3730.0,3800.0,3681.789306640625,919500
2024-11-07,4050.0,4050.0,3800.0,3845.0,3725.38916015625,1120800
2024-11-08,3915.0,3935.0,3790.0,3855.0,3735.078369140625,702900
2024-11-11,3820.0,3880.0,3620.0,3675.0,3560.677734375,1447100
2024-11-12,4165.0,4170.0,3815.0,3910.0,3788.3671875,4447600
2024-11-13,4065.0,4100.0,3800.0,3800.0,3681.789306640625,1846800
2024-11-14,3820.0,3915.0,3655.0,3665.0,3550.98876953125,1558500
2024-11-15,3725.0,3905.0,3705.0,3840.0,3720.544921875,1602700
2024-11-18,3725.0,3785.0,3670.0,3755.0,3638.18896484375,1371300
2024-11-19,3720.0,3800.0,3640.0,3725.0,3609.122314453125,870900
2024-11-20,3760.0,3850.0,3695.0,3710.0,3594.5888671875,893900
2024-11-21,3710.0,3790.0,3585.0,3775.0,3657.56689453125,1291500
2024-11-22,3835.0,3915.0,3805.0,3820.0,3701.1669921875,936900
2024-11-25,3850.0,4095.0,3840.0,3965.0,3841.65625,2110800
2024-11-26,3975.0,3975.0,3815.0,3945.0,3822.278564453125,1294900
2024-11-27,3910.0,4025.0,3865.0,3915.0,3793.211669921875,1139300
2024-11-28,3775.0,3960.0,3650.0,3885.0,3764.14501953125,2626400
2024-11-29,3815.0,3845.0,3690.0,3735.0,3618.811279296875,1309700
2024-12-02,3770.0,3880.0,3750.0,3805.0,3686.633544921875,1193700
2024-12-03,3945.0,4065.0,3935.0,3965.0,3841.65625,1692200
2024-12-04,3950.0,4000.0,3875.0,3920.0,3798.056396484375,853800
2024-12-05,4090.0,4120.0,3960.0,3980.0,3856.189697265625,1360900
2024-12-06,3940.0,3940.0,3750.0,3820.0,3701.1669921875,1429100
2024-12-09,3815.0,3815.0,3550.0,3575.0,3463.788330078125,2433500
2024-12-10,3545.0,3630.0,3525.0,3610.0,3497.699951171875,998400
2024-12-11,3555.0,3630.0,3465.0,3600.0,3488.0107421875,1391600
2024-12-12,3740.0,3840.0,3685.0,3825.0,3706.011474609375,2711800
2024-12-13,3850.0,3850.0,3735.0,3790.0,3672.100341796875,876500
2024-12-16,3820.0,4180.0,3815.0,4000.0,3875.5673828125,3258000
2024-12-17,4050.0,4100.0,3945.0,3980.0,3856.189697265625,1219800
2024-12-18,3965.0,4220.0,3935.0,4165.0,4035.43505859375,1816600
2024-12-19,3970.0,4060.0,3890.0,3915.0,3793.211669921875,2491200
2024-12-20,3860.0,3975.0,3840.0,3845.0,3725.38916015625,1103300
2024-12-23,3875.0,3935.0,3835.0,3935.0,3812.589599609375,715400
2024-12-24,3985.0,4005.0,3870.0,3885.0,3764.14501953125,729900
2024-12-25,3885.0,3920.0,3800.0,3855.0,3735.078369140625,569300
2024-12-26,3815.0,3845.0,3775.0,3800.0,3681.789306640625,828400
2024-12-27,3760.0,3830.0,3755.0,3775.0,3726.20751953125,860300
2024-12-30,3760.0,3785.0,3715.0,3775.0,3726.20751953125,735900
2025-01-06,3790.0,3925.0,3740.0,3890.0,3839.72119140625,1032200
2025-01-07,4100.0,4440.0,4055.0,4355.0,4298.7109375,3302100
2025-01-08,4345.0,4675.0,4300.0,4640.0,4580.02734375,3030400
2025-01-09,4560.0,4610.0,4420.0,4445.0,4387.5478515625,2075600
2025-01-10,4375.0,4560.0,4350.0,4450.0,4392.48291015625,1579000
2025-01-14,4300.0,4300.0,3900.0,3910.0,3859.462646484375,3545200
2025-01-15,3915.0,3920.0,3730.0,3765.0,3716.3369140625,1720000
2025-01-16,3850.0,3870.0,3710.0,3845.0,3795.302734375,1859500
2025-01-17,3810.0,3865.0,3730.0,3865.0,3815.044189453125,1194100
2025-01-20,3900.0,4155.0,3860.0,4045.0,3992.7177734375,2039800
2025-01-21,4115.0,4155.0,3970.0,4090.0,4037.13623046875,1594800
2025-01-22,4210.0,4450.0,4185.0,4350.0,4293.775390625,2036000
2025-01-23,4490.0,4510.0,4295.0,4350.0,4293.775390625,1712100
2025-01-24,4160.0,4260.0,4105.0,4155.0,4101.2958984375,1654600
2025-01-27,4105.0,4105.0,3935.0,3955.0,3903.881103515625,1787900
2025-01-28,3750.0,3820.0,3665.0,3730.0,3681.789306640625,2464000
2025-01-29,3800.0,3820.0,3580.0,3665.0,3617.62939453125,2304000
2025-01-30,3650.0,3705.0,3585.0,3680.0,3632.435546875,1415600
2025-01-31,3820.0,3955.0,3795.0,3810.0,3760.755126953125,1862200
2025-02-03,3700.0,3750.0,3660.0,3660.0,3612.69384765625,1068900
2025-02-04,3795.0,3910.0,3755.0,3825.0,3775.561279296875,1550000
2025-02-05,3895.0,3965.0,3815.0,3960.0,3908.81640625,1587700
2025-02-06,4025.0,4320.0,4015.0,4160.0,4106.2314453125,3341100
2025-02-07,3935.0,4010.0,3820.0,3930.0,3879.2041015625,2025600
2025-02-10,3870.0,3965.0,3820.0,3925.0,3874.268798828125,1128200
2025-02-12,3950.0,3960.0,3825.0,3905.0,3854.52734375,1252300
2025-02-13,3875.0,3980.0,3875.0,3950.0,3898.945556640625,986300
2025-02-14,3955.0,3955.0,3885.0,3900.0,3849.592041015625,1284600
2025-02-17,4540.0,4600.0,4530.0,4600.0,4540.54443359375,3704300
2025-02-18,4750.0,5030.0,4735.0,4895.0,4831.7314453125,4973900
2025-02-19,4920.0,4990.0,4760.0,4830.0,4767.57177734375,2058400
2025-02-20,4850.0,4905.0,4715.0,4835.0,4772.5068359375,1502400
2025-02-21,4780.0,5120.0,4765.0,5090.0,5024.2109375,1612600
2025-02-25,4850.0,4910.0,4455.0,4475.0,4417.16015625,3358400
2025-02-26,4470.0,4600.0,4370.0,4450.0,4392.48291015625,1443100
2025-02-27,4565.0,4570.0,4380.0,4435.0,4377.6767578125,1210700
2025-02-28,4355.0,4555.0,4230.0,4235.0,4180.26220703125,3081500
2025-03-03,4375.0,4380.0,4150.0,4150.0,4096.36083984375,1342200
2025-03-04,4025.0,4055.0,3730.0,3870.0,3819.979736328125,2984300
2025-03-05,3875.0,3970.0,3805.0,3875.0,3824.9150390625,1523800
2025-03-06,3945.0,3945.0,3760.0,3860.0,3810.10888671875,1591000
2025-03-07,3745.0,3785.0,3690.0,3725.0,3676.853759765625,1133700
2025-03-10,3740.0,3895.0,3715.0,3830.0,3780.49658203125,1441000
2025-03-11,3660.0,3720.0,3535.0,3705.0,3657.1123046875,2219500
2025-03-12,3635.0,3765.0,3630.0,3705.0,3657.1123046875,1104200
2025-03-13,3830.0,3935.0,3775.0,3810.0,3760.755126953125,1117800
2025-03-14,3830.0,3880.0,3750.0,3870.0,3819.979736328125,808300
2025-03-17,3910.0,3935.0,3855.0,3875.0,3824.9150390625,833500
2025-03-18,3945.0,4220.0,3890.0,4220.0,4165.4560546875,2491200
