Date,Open,High,Low,Close,AdjustedClose,Volume
2024-07-29,3485.0,3545.0,3440.0,3530.0,3337.48779296875,860900
2024-07-30,3510.0,3575.0,3430.0,3560.0,3365.8515625,624100
2024-07-31,3460.0,3615.0,3410.0,3600.0,3403.670166015625,1016200
2024-08-01,3650.0,3650.0,3355.0,3375.0,3190.94091796875,943400
2024-08-02,3260.0,3310.0,3085.0,3095.0,2926.211181640625,1978100
2024-08-05,2805.0,2872.0,2395.0,2444.0,2310.7138671875,2536600
2024-08-06,2641.0,2871.0,2604.0,2778.0,2626.498779296875,1885400
2024-08-07,2694.0,3040.0,2690.0,2943.0,2782.50048828125,2042800
2024-08-08,2885.0,3010.0,2855.0,2951.0,2790.064208984375,1095600
2024-08-09,3040.0,3070.0,2868.0,2980.0,2817.482666015625,1448300
2024-08-13,2580.0,2882.0,2561.0,2882.0,2724.8271484375,3995200
2024-08-14,2907.0,2955.0,2658.0,2931.0,2771.15478515625,2778500
2024-08-15,2932.0,2977.0,2855.0,2922.0,2762.6455078125,1606500
2024-08-16,3025.0,3150.0,3000.0,3100.0,2930.93798828125,1304800
2024-08-19,3050.0,3080.0,2870.0,2892.0,2734.28173828125,1268300
2024-08-20,2944.0,3080.0,2932.0,3010.0,2845.846435546875,1020200
2024-08-21,2950.0,2975.0,2878.0,2925.0,2765.482177734375,985500
2024-08-22,2968.0,2968.0,2852.0,2875.0,2718.208740234375,764500
2024-08-23,2844.0,2882.0,2816.0,2816.0,2662.426513671875,654000
2024-08-26,2810.0,2839.0,2764.0,2808.0,2654.86279296875,661800
2024-08-27,2789.0,2804.0,2736.0,2766.0,2615.153564453125,730100
2024-08-28,2742.0,2753.0,2698.0,2753.0,2602.8623046875,691600
2024-08-29,2703.0,2748.0,2639.0,2737.0,2587.735107421875,920600
2024-08-30,2752.0,2843.0,2728.0,2813.0,2659.590087890625,850500
2024-09-02,2884.0,2904.0,2705.0,2714.0,2565.989013671875,1176800
2024-09-03,2732.0,2732.0,2640.0,2641.0,2496.97021484375,833900
2024-09-04,2517.0,2555.0,2468.0,2477.0,2341.914306640625,1075900
2024-09-05,2445.0,2521.0,2421.0,2428.0,2295.586669921875,894400
2024-09-06,2459.0,2469.0,2401.0,2422.0,2289.913818359375,785300
2024-09-09,2300.0,2370.0,2260.0,2349.0,2220.89501953125,862000
2024-09-10,2371.0,2418.0,2323.0,2361.0,2232.240478515625,725500
2024-09-11,2326.0,2395.0,2277.0,2309.0,2183.076171875,728900
2024-09-12,2389.0,2452.0,2369.0,2451.0,2317.332275390625,813400
2024-09-13,2449.0,2467.0,2365.0,2367.0,2237.913330078125,633100
2024-09-17,2349.0,2355.0,2235.0,2282.0,2157.548828125,1033700
2024-09-18,2327.0,2364.0,2287.0,2329.0,2201.985595703125,578400
2024-09-19,2377.0,2434.0,2371.0,2404.0,2272.8955078125,728200
2024-09-20,2500.0,2567.0,2468.0,2503.0,2366.49658203125,1413800
2024-09-24,2547.0,2558.0,2395.0,2409.0,2277.62255859375,904600
2024-09-25,2429.0,2496.0,2406.0,2443.0,2309.7685546875,625200
2024-09-26,2489.0,2556.0,2467.0,2540.0,2401.478515625,1011000
2024-09-27,2570.0,2646.0,2548.0,2615.0,2492.01025390625,1228400
2024-09-30,2503.0,2526.0,2415.0,2426.0,2311.8994140625,1012000
2024-10-01,2464.0,2538.0,2448.0,2468.0,2351.924072265625,893000
2024-10-02,2418.0,2470.0,2397.0,2454.0,2338.58251953125,940300
2024-10-03,2519.0,2525.0,2442.0,2443.0,2328.10009765625,737500
2024-10-04,2452.0,2466.0,2416.0,2434.0,2319.5234375,455000
2024-10-07,2510.0,2548.0,2391.0,2391.0,2278.5458984375,1084500
2024-10-08,2365.0,2380.0,2330.0,2336.0,2226.132568359375,690600
2024-10-09,2348.0,2396.0,2347.0,2367.0,2255.674560546875,681200
2024-10-10,2353.0,2412.0,2317.0,2318.0,2208.97900390625,733300
2024-10-11,2311.0,2367.0,2291.0,2291.0,2183.248779296875,512400
2024-10-15,2328.0,2355.0,2275.0,2313.0,2204.214111328125,1145300
2024-10-16,2263.0,2264.0,2189.0,2215.0,2110.8232421875,1260200
2024-10-17,2230.0,2254.0,2195.0,2220.0,2115.588134765625,656000
2024-10-18,2232.0,2243.0,2196.0,2214.0,2109.870361328125,562200
2024-10-21,2198.0,2259.0,2185.0,2233.0,2127.976806640625,508500
2024-10-22,2211.0,2220.0,2121.0,2133.0,2032.679931640625,789800
2024-10-23,2133.0,2169.0,2118.0,2137.0,2036.4918212890625,768700
2024-10-24,2113.0,2156.0,2091.0,2108.0,2008.855712890625,665600
2024-10-25,2072.0,2090.0,2035.0,2043.0,1946.912841796875,898100
2024-10-28,2048.0,2160.0,2044.0,2130.0,2029.821044921875,786900
2024-10-29,2125.0,2141.0,2103.0,2130.0,2029.821044921875,386900
2024-10-30,2140.0,2187.0,2130.0,2172.0,2069.845703125,1268900
